ID,Address,BuildingName,Street_Nbr,Street,VHR,Designation,Zoning,LocalArea,Land_Coord,HRA_HCC,Latitude,Longitude
378,228 E PENDER ST,,228,E PENDER ST,,M,HA-1                ,STRATHCONA          ,59219030,,49.2801030819697,-123.098876885328
379,108 W HASTINGS ST,,108,W HASTINGS ST,B,,DD                  ,CENTRL BUSNES/DWNTWN,59015786,,49.2818223505072,-123.107622742579
380,42 W 11TH AV,,42,W 11TH AV,B,,RT-6                ,MOUNT PLEASANT      ,66418250,,49.2608975671605,-123.106038469601
381,955 BURRARD ST,YMCA              ,955,BURRARD ST,B,M,CD-1                ,WEST END            ,60511984,H,49.2820311516717,-123.125761829552
382,2906 W 5TH AV,,2906,W 5TH AV,C,,RT-7                ,KITSILANO           ,64206228,,49.2672560139048,-123.170357185997
383,742 E BROADWAY,,742,E BROADWAY,C,,C-2C                ,MOUNT PLEASANT      ,65021042,,49.2621533814524,-123.08810218012
384,3589 GRANVILLE ST,,3589,GRANVILLE ST,A,,FSD                 ,SHAUGHNESSY         ,70212595,,49.2534159024767,-123.139465117187
385,411 DUNSMUIR ST,,411,DUNSMUIR ST,B,,DD                  ,CENTRL BUSNES/DWNTWN,14859299,,49.2820731999911,-123.11351586912
386,1017 E GEORGIA ST,,1017,E GEORGIA ST,C,,RT-3                ,STRATHCONA          ,59621917,,49.2785123006057,-123.081944799028
387,251 E 23RD AV,,251,E 23RD AV,B,,RS-7                ,RILEY PARK          ,70619051,,49.2505044267103,-123.099852676237
388,304 E 28TH AV,WALDEN HOUSE      ,304,E 28TH AV,B,M,RS-1                ,RILEY PARK          ,71719250,H,49.2455413536071,-123.099142291578
389,1160 COMOX ST,MACE HOUSE        ,1160,COMOX ST,A,,RM-5B               ,WEST END            ,60711828,,49.2824913856094,-123.130813410104
390,620 BEATTY ST,,620,BEATTY ST,A,MF,DD                  ,CENTRL BUSNES/DWNTWN,16059504,,49.2794044973364,-123.110691911503
391,604 E 23RD AV,,604,E 23RD AV,B,,RS-1                ,RILEY PARK          ,70620304,,49.2498642130766,-123.091846610015
392,789 W PENDER ST,,789,W PENDER ST,B,,DD                  ,CENTRL BUSNES/DWNTWN,59212605,,49.2853841238731,-123.115148173257
393,736 E 39TH AV,,736,E 39TH AV,C,,RS-1                ,KENSINGTON-CEDAR COT,74421070,,49.2345326857457,-123.089563161212
394,3102 MAIN ST,,3102,MAIN ST,A,M,C-2C                ,MOUNT PLEASANT      ,19068702,,49.2573168179342,-123.100841626316
395,2536 W 12TH AV,,2536,W 12TH AV,C,,RS-5                ,KITSILANO           ,67007366,,49.260877718154,-123.163400719693
396,426 W 12TH AV,,426,W 12TH AV,B,,RT-6                ,MOUNT PLEASANT      ,67017068,,49.2600806603537,-123.113679957674
397,1972 WILLIAM ST,,1972,WILLIAM ST,B,,RT-4                ,GRANDVIEW-WOODLAND  ,60625462,,49.2735775714074,-123.063911995309
398,2404 GUELPH ST,,2404,GUELPH ST,B,,RM-4                ,MOUNT PLEASANT      ,19864804,,49.2632019135257,-123.094646391553
399,154 E 7TH AV,WILLIAMS BLOCK    ,154,E 7TH AV,B,M,C-3A                ,MOUNT PLEASANT      ,64618684,,49.2643926545818,-123.10161448489
400,1690 MATTHEWS AV,,1690,MATTHEWS AV,A,M,FSD                 ,SHAUGHNESSY         ,70212248,,49.2516695247617,-123.14306239951
401,1469 MATTHEWS AV,,1469,MATTHEWS AV,B,,FSD                 ,SHAUGHNESSY         ,70213045,,49.2537756112037,-123.13768878143
402,1157 E PENDER ST,,1157,E PENDER ST,C,,RT-3                ,STRATHCONA          ,59222257,,49.2802846004458,-123.079958273302
403,1023 PACIFIC ST,,1023,PACIFIC ST,B,,RM-5A               ,WEST END            ,61611947,,49.2780290777695,-123.132675351879
404,734 JACKSON AV,,734,JACKSON AV,C,M,RT-3                ,STRATHCONA          ,19659694,H,49.2778144099596,-123.093352039776
405,1556 ADANAC ST,,1556,ADANAC ST,B,,RM-4                ,GRANDVIEW-WOODLAND  ,59823394,,49.2773364196968,-123.072973234543
406,688 W HASTINGS ST,,688,W HASTINGS ST,A,M,DD                  ,CENTRL BUSNES/DWNTWN,13059004,,49.2850005981901,-123.113625082385
407,1835 STEPHENS ST,,1835,STEPHENS ST,C,,RT-8                ,KITSILANO           ,07263669,,49.2695512605274,-123.16663500871
408,1209 JERVIS ST,,1209,JERVIS ST,B,,RM-5D               ,WEST END            ,61211696,,49.2827220884711,-123.135424951289
409,3637 ANGUS DRIVE,,3637,ANGUS DRIVE,B,,FSD                 ,SHAUGHNESSY         ,69812105,,49.2538309440337,-123.145317028354
410,3750 PRINCE EDWARD ST,,3750,PRINCE EDWARD ST,C,,RS-1                ,RILEY PARK          ,19769892,,49.2512266077547,-123.096346901693
411,969 ROBSON ST,,969,ROBSON ST,A,M,CD-1                ,CENTRL BUSNES/DWNTWN,12060194,,49.2833549453905,-123.122070609985
412,281 E 18TH AV,,281,E 18TH AV,B,,RS-7                ,RILEY PARK          ,69219081,,49.2549601518818,-123.09908466485
413,93 W CORDOVA ST,,93,W CORDOVA ST,C,M,HA-2                ,CENTRL BUSNES/DWNTWN,58917205,,49.2830541174762,-123.106522038611
414,6187 MACDONALD ST,,6187,MACDONALD ST,C,,RS-5                ,KERRISDALE          ,07075815,,49.2302643482726,-123.167889395093
415,1946 FERNDALE ST,,1946,FERNDALE ST,C,,RS-7                ,GRANDVIEW-WOODLAND  ,59325346,,49.2794816613658,-123.064507711602
416,2536 ALBERTA ST,,2536,ALBERTA ST,B,,RM-4                ,MOUNT PLEASANT      ,17365094,,49.2623292566464,-123.110658717546
417,1021 W HASTINGS ST,UNIVERSITY CLUB   ,1021,W HASTINGS ST,B,M,DD                  ,CENTRL BUSNES/DWNTWN,59011955,,49.2877342016388,-123.118192793095
418,2210 MACDONALD ST,,2210,MACDONALD ST,B,,RT-8                ,KITSILANO           ,07064314,,49.2664079637016,-123.168072556538
419,2856 W 3RD AV,LOGAN HOUSE       ,2856,W 3RD AV,B,M,RT-8                ,KITSILANO           ,63806252,H,49.2690085060534,-123.169622248696
420,525 E 12TH AV,,525,E 12TH AV,B,,RT-5                ,MOUNT PLEASANT      ,67020125,,49.2599916889109,-123.092296058704
421,1498 LAURIER AV,DUMOINE LODGE     ,1498,LAURIER AV,B,MI,FSD                 ,SHAUGHNESSY         ,70513024,H,49.2504520902946,-123.13826203194
422,882 E 31ST AV,,882,E 31ST AV,B,,RS-1                ,KENSINGTON-CEDAR COT,72721282,,49.2422804716744,-123.086335168271
423,399 CARRALL ST,PIONEER SQUARE PK ,399,CARRALL ST,,M,HA-2                ,CENTRL BUSNES/DWNTWN,59017289,,49.2816985319883,-123.104585835623
424,658 KEEFER ST,CHAN HOUSE        ,658,KEEFER ST,B,M,RT-3                ,STRATHCONA          ,59419858,H,49.2790385756002,-123.090212243407
425,842 KEEFER ST,,842,KEEFER ST,B,,RT-3                ,STRATHCONA          ,59421242,,49.278965827172,-123.086235918459
426,656 UNION ST,,656,UNION ST,B,M,RT-3                ,STRATHCONA          ,59819854,H,49.277224017481,-123.090310644621
427,1041 COMOX ST,,1041,COMOX ST,C,,RM-5B               ,WEST END            ,60711955,,49.2813329720438,-123.127812119325
428,1470 GRAVELEY ST,,1470,GRAVELEY ST,C,,RM-4                ,GRANDVIEW-WOODLAND  ,61623270,,49.2702705262811,-123.073839575893
429,1699 LAURIER AV,,1699,LAURIER AV,B,,FSD                 ,SHAUGHNESSY         ,12270292,,49.2510787531915,-123.143607026628
430,2427 W 37TH AV,,2427,W 37TH AV,A,,RS-5                ,ARBUTUS RIDGE       ,73907757,,49.2386628823119,-123.161589587874
431,1363 THE CRESCENT,,1363,THE CRESCENT,B,,FSD                 ,SHAUGHNESSY         ,69213335,,49.2567675224094,-123.135342411467
432,6249 ELM ST,,6249,ELM ST,B,,RS-5                ,KERRISDALE          ,07475865,,49.2295707000538,-123.165185265581
433,1937 E 3RD AV,ST. PIERRE HOUSE  ,1937,E 3RD AV,C,,RT-4                ,GRANDVIEW-WOODLAND  ,63325337,,49.2679968537441,-123.064913827258
434,2537 BALACLAVA ST,,2537,BALACLAVA ST,C,,RS-5                ,KITSILANO           ,05865085,,49.2635182160685,-123.174332287454
435,2212 CYPRESS ST,,2212,CYPRESS ST,B,M,RM-4                ,KITSILANO           ,64309704,,49.2660511576671,-123.147122496547
436,504 E HASTINGS ST,,504,E HASTINGS ST,B,,DEOD                ,STRATHCONA          ,59019604,,49.2809025375296,-123.093162907349
437,2576 W 3RD AV,,2576,W 3RD AV,B,,RT-8                ,KITSILANO           ,63807314,,49.2689236815406,-123.163938700011
438,271 E PENDER ST,,271,E PENDER ST,,M,HA-1                ,STRATHCONA          ,59219069,,49.2806016151011,-123.098019001759
439,5400 CARTIER ST,VANCOUVER COLLEGE ,5400,CARTIER ST,B,,RS-5                ,SHAUGHNESSY         ,13574704,,49.2361100606019,-123.136005614925
440,1611 W 63RD AV,,1611,W 63RD AV,B,,RS-1                ,MARPOLE             ,81812383,,49.2142991844787,-123.144003567547
441,786 E 50TH AV,,786,E 50TH AV,B,,RS-1                ,SUNSET              ,79121084,,49.2242187743377,-123.088550048904
442,1811 W 16TH AV,CDN MEM CHURCH HAL,1811,W 16TH AV,B,,RT-8                ,KITSILANO           ,69009793,H,49.2574650606402,-123.14634122376
443,2615 W 2ND AV,,2615,W 2ND AV,B,,RT-8                ,KITSILANO           ,63607277,,49.2703601082073,-123.164980605772
444,525 SEYMOUR ST,SEYMOUR BUILDING  ,525,SEYMOUR ST,B,,DD                  ,CENTRL BUSNES/DWNTWN,13459221,,49.2838215093831,-123.114693025268
445,4241 W 13TH AV,,4241,W 13TH AV,C,,RS-1                ,WEST POINT GREY     ,68302751,,49.2611926903859,-123.201269677371
446,1165 E PENDER ST,,1165,E PENDER ST,B,,RT-3                ,STRATHCONA          ,59222265,,49.2802812237076,-123.079637772742
447,117 W 13TH AV,,117,W 13TH AV,B,,RT-6                ,MOUNT PLEASANT      ,68317979,,49.2596624088737,-123.10760364357
448,1883 W 3RD AV,,1883,W 3RD AV,C,,RM-4                ,KITSILANO           ,63809719,,49.2691655035235,-123.147447025339
449,2127 W 41ST AV,,2127,W 41ST AV,C,,C-2                 ,ARBUTUS RIDGE       ,75008277,,49.2348456359001,-123.156303225949
450,2216 MACDONALD ST,,2216,MACDONALD ST,B,,RT-8                ,KITSILANO           ,7064330,,49.2663379278184,-123.168078201677
451,3228 DUMFRIES ST,,3228,DUMFRIES ST,C,,RT-5                ,KENSINGTON-CEDAR COT,23568718,,49.2561177921238,-123.072492897745
452,1857 WATERLOO ST,,1857,WATERLOO ST,B,,RT-8                ,KITSILANO           ,04563697,,49.2695941467741,-123.18000933182
453,760 W 19TH AV,,760,W 19TH AV,C,,RS-7                ,SOUTH CAMBIE        ,69415946,,49.254050599783,-123.121253449324
454,1027 PACIFIC ST,,1027,PACIFIC ST,B,,RM-5A               ,WEST END            ,61611947,,49.2780290777695,-123.132675351879
455,152 W HASTINGS ST,,152,W HASTINGS ST,C,,DD                  ,CENTRL BUSNES/DWNTWN,59015736,,49.2820346126377,-123.109058705138
456,110 CAMBIE ST,,110,CAMBIE ST,B,M,HA-2                ,CENTRL BUSNES/DWNTWN,58015705,,49.284492827329,-123.10852879482
457,1254 W 7TH AV,,1254,W 7TH AV,A,M,FM-1                ,FAIRVIEW            ,64613844,,49.2649990466275,-123.132645720699
458,252 E GEORGIA ST,,252,E GEORGIA ST,C,,HA-1A               ,STRATHCONA          ,59619060,,49.2782751970235,-123.097707977578
459,2026 MACDONALD ST,,2026,MACDONALD ST,C,,RT-8                ,KITSILANO           ,07064052,,49.2678360502809,-123.168023757556
460,2648 TEMPLETON DRIVE,,2648,TEMPLETON DRIVE,C,,RS-1                ,KENSINGTON-CEDAR COT,26565584,,49.2606069987238,-123.059811497882
461,655 E CORDOVA ST,,655,E CORDOVA ST,B,,DEOD                ,STRATHCONA          ,58919855,,49.282357614647,-123.090110994016
462,699 W 19TH AV,MIDDLEMASS HOUSE  ,699,W 19TH AV,B,M,RS-7                ,SOUTH CAMBIE        ,69416305,,49.254533631244,-123.119989713075
463,238 ABBOTT ST,,238,ABBOTT ST,,M,HA-2                ,CENTRL BUSNES/DWNTWN,17258076,,49.2831531566973,-123.106421876551
464,851 KEEFER ST,,851,KEEFER ST,B,,RT-3                ,STRATHCONA          ,59421253,,49.2794706176578,-123.086020127654
465,2033 FERNDALE ST,,2033,FERNDALE ST,C,,RS-4                ,GRANDVIEW-WOODLAND  ,59225534,,49.279925642033,-123.062799325828
466,4375 ST. CATHERINES ST,,4375,ST. CATHERINES ST,C,,RS-1                ,KENSINGTON-CEDAR COT,21471475,,49.2458718684163,-123.086257713741
467,3707 W 2ND AV,,3707,W 2ND AV,B,,RS-1                ,WEST POINT GREY     ,63603791,,49.2706535762232,-123.185854592031
468,1212 GRANVILLE ST,,1212,GRANVILLE ST,C,,DD                  ,CENTRL BUSNES/DWNTWN,13061220,,49.2767598254432,-123.126195933148
469,3435 W 3RD AV,,3435,W 3RD AV,C,,RT-8                ,KITSILANO           ,63804265,,49.2696797327202,-123.180501610085
470,2439 ETON ST,,2439,ETON ST,B,M,RS-1                ,HASTINGS-SUNRISE    ,57527063,H,49.2880304368857,-123.055412365765
471,2755 W 8TH AV,,2755,W 8TH AV,C,,RT-8                ,KITSILANO           ,64807047,,49.2651768598741,-123.167541251903
472,1388 THE CRESCENT,,1388,THE CRESCENT,A,,FSD                 ,SHAUGHNESSY         ,69813394,,49.2544146962367,-123.135833359224
473,130 E PENDER ST,,130,E PENDER ST,,M,HA-1                ,CENTRL BUSNES/DWNTWN,59218634,,49.2801599746823,-123.101513893419
474,506 VICTORIA DRIVE,,506,VICTORIA DRIVE,C,,RM-4                ,GRANDVIEW-WOODLAND  ,25359202,,49.2799403687721,-123.065359231532
475,1151 W 8TH AV,,1151,W 8TH AV,B,M,FM-1                ,FAIRVIEW            ,64814651,,49.2646004195658,-123.130054384613
476,439 HELMCKEN ST,,439,HELMCKEN ST,C,M,DD                  ,CENTRL BUSNES/DWNTWN,60813827,H,49.2768653449775,-123.122215435101
477,2286 W 8TH AV,,2286,W 8TH AV,C,,RM-4                ,KITSILANO           ,64808428,,49.2646064012493,-123.157164680677
478,3636 W 8TH AV,,3636,W 8TH AV,B,,RT-7                ,KITSILANO           ,64804062,,49.2649123911615,-123.18469653746
479,2316 W 5TH AV,,2316,W 5TH AV,B,,RT-8                ,KITSILANO           ,64207884,,49.2670708354821,-123.158008968508
480,3638 OSLER ST,,3638,OSLER ST,B,,FSD                 ,SHAUGHNESSY         ,14870232,,49.2532312243449,-123.129766169439
481,727 PRINCESS AV,LOVEGROVE HOUSE   ,727,PRINCESS AV,B,,RT-3                ,STRATHCONA          ,59819695,,49.2777718432889,-123.091844339511
482,302 WATER ST,,302,WATER ST,B,M,HA-2                ,CENTRL BUSNES/DWNTWN,58013894,,49.2841194420428,-123.109078235764
483,345 W 12TH AV,,345,W 12TH AV,B,,RT-6                ,MOUNT PLEASANT      ,67017141,,49.2606182818193,-123.112147261636
484,876 GRANVILLE ST,,876,GRANVILLE ST,C,,DD                  ,CENTRL BUSNES/DWNTWN,13060274,,49.280374103389,-123.120719576473
485,1271 E 28TH AV,,1271,E 28TH AV,C,,RT-10               ,KENSINGTON-CEDAR COT,71722571,,49.245708960632,-123.07869056401
486,1287 E 28TH AV,,1287,E 28TH AV,B,,RT-10               ,KENSINGTON-CEDAR COT,71722581,,49.2457073393505,-123.078415892066
487,154 E 10TH AV,,154,E 10TH AV,B,M,RM-4                ,MOUNT PLEASANT      ,65418676,,49.2617604763145,-123.102105270153
488,2239 STEPHENS ST,LUKOV HOUSE       ,2239,STEPHENS ST,B,M,RT-8                ,KITSILANO           ,07264383,,49.2659789836672,-123.16677423175
489,3188 W 3RD AV,BIRNIE HOUSE      ,3188,W 3RD AV,C,M,RT-8                ,KITSILANO           ,63805316,,49.2690600716333,-123.175426280436
490,1537 MATTHEWS AV,,1537,MATTHEWS AV,B,,FSD                 ,SHAUGHNESSY         ,70212575,,49.2533773135651,-123.140118842555
491,47 E 22ND AV,,47,E 22ND AV,B,,RS-7                ,RILEY PARK          ,70318447,,49.2511880780756,-123.10382660083
492,235 E 18TH AV,,235,E 18TH AV,B,,RS-7                ,RILEY PARK          ,69219037,,49.2550315721353,-123.099995080055
493,1558 COMOX ST,,1558,COMOX ST,B,,RM-5                ,WEST END            ,11460706,,49.2863651370653,-123.136568983036
494,1511 W 65TH AV,,1511,W 65TH AV,B,,RS-1                ,MARPOLE             ,82412481,,49.2125086489281,-123.14129869872
495,2025 TRIMBLE ST,,2025,TRIMBLE ST,B,,RS-1                ,WEST POINT GREY     ,64002594,,49.268692647926,-123.206169018486
496,3248 W 2ND AV,,3248,W 2ND AV,C,,RT-8                ,KITSILANO           ,63605028,,49.2700010214593,-123.176885017274
497,436 E 12TH AV,,436,E 12TH AV,C,,RT-5                ,MOUNT PLEASANT      ,67019836,,49.2595498122733,-123.09450527104
498,312 MAIN ST,,312,MAIN ST,B,,DEOD                ,STRATHCONA          ,19058908,,49.2821292936931,-123.099124527344
499,2743 W 6TH AV,,2743,W 6TH AV,C,,RT-8                ,KITSILANO           ,64307027,,49.2668696525632,-123.167613649382
500,1401 PENDRELL ST,FEE HOUSE         ,1401,PENDRELL ST,A,M,RM-5                ,WEST END            ,11660797,,49.2846994959731,-123.13517316374
501,3611 SELKIRK ST,,3611,SELKIRK ST,B,M,FSD                 ,SHAUGHNESSY         ,70214498,H,49.2533020799141,-123.133329003258
502,509 CARRALL ST,,509,CARRALL ST,B,M,HA-1                ,CENTRL BUSNES/DWNTWN,17859213,,49.2803909776229,-123.104781335268
503,795 E PENDER ST,CRAWFORD HOUSE    ,795,E PENDER ST,C,M,RT-3                ,STRATHCONA          ,59220597,,49.2804059360881,-123.087446675686
504,115 E PENDER ST,,115,E PENDER ST,,M,HA-1                ,CENTRL BUSNES/DWNTWN,59218629,,49.2807161597808,-123.101703525212
505,5955 ROSS ST,MEMORIAL PRK SOUTH,5955,ROSS ST,A,M,RS-1                ,SUNSET              ,21275006,,49.2311841593175,-123.08458709482
506,511 UNION ST,,511,UNION ST,B,M,RT-3                ,STRATHCONA          ,59819615,H,49.2778198517468,-123.093196402484
507,1163 UNION ST,,1163,UNION ST,B,,RT-3                ,STRATHCONA          ,59822263,,49.2775699135309,-123.079873373598
508,2158 W 13TH AV,,2158,W 13TH AV,C,,RT-7                ,KITSILANO           ,68308742,,49.2598121385617,-123.154378944484
509,7299 GRANVILLE ST,,7299,GRANVILLE ST,,L,CD-1                ,KERRISDALE          ,,,,
510,3204 W 2ND AV,,3204,W 2ND AV,B,,RT-8                ,KITSILANO           ,63605096,,49.2699867391242,-123.175923309296
511,2862 W 3RD AV,,2862,W 3RD AV,C,,RT-8                ,KITSILANO           ,63806248,,49.2690096463795,-123.16976452503
512,46 WATER ST,FRANKS BUILDING   ,46,WATER ST,C,M,HA-2                ,CENTRL BUSNES/DWNTWN,58017242,H,49.2834189866129,-123.105524414044
513,5903 LARCH ST,,5903,LARCH ST,B,,RS-5                ,KERRISDALE          ,7775505,,49.2326876678357,-123.163240977635
514,133 W 11TH AV,,133,W 11TH AV,B,,RT-6                ,MOUNT PLEASANT      ,66417947,,49.2614451799346,-123.108161073852
515,1380 HORNBY ST,,1380,HORNBY ST,A,MI,CD-1                ,CENTRL BUSNES/DWNTWN,12461474,H,49.2762982109585,-123.130805926067
516,2532 BALACLAVA ST,,2532,BALACLAVA ST,C,,RS-5                ,KITSILANO           ,05865042,,49.2636775079534,-123.173684101256
517,2050 W 36TH AV,,2050,W 36TH AV,B,,RS-5                ,SHAUGHNESSY         ,73709148,,49.2388936290238,-123.153407591037
518,827 KEEFER ST,,827,KEEFER ST,B,,RT-3                ,STRATHCONA          ,59421227,,49.2794771552475,-123.086540691063
519,2123 GRAVELEY ST,,2123,GRAVELEY ST,C,,RT-4                ,GRANDVIEW-WOODLAND  ,61625923,,49.2706506920949,-123.061249159022
520,3656 W 7TH AV,,3656,W 7TH AV,C,,RT-7                ,KITSILANO           ,64604026,,49.2658069807369,-123.18505747267
521,2714 CAROLINA ST,,2714,CAROLINA ST,C,,RT-5                ,MOUNT PLEASANT      ,20666514,,49.2603634663717,-123.090824978249
522,627 E CORDOVA ST,,627,E CORDOVA ST,B,,DEOD                ,STRATHCONA          ,58919829,,49.2823709788848,-123.090849522012
523,2504 YORK AV,ACORN HOUSE       ,2504,YORK AV,C,M,RT-8                ,KITSILANO           ,63107394,,49.2715467946853,-123.162380665564
524,4435 W 12TH AV,,4435,W 12TH AV,B,,RS-1                ,WEST POINT GREY     ,67802471,,49.262220518276,-123.207202382112
525,773 E PENDER ST,,773,E PENDER ST,B,,RT-3                ,STRATHCONA          ,59220573,,49.280413304729,-123.088036890767
526,2821 ADANAC ST,,2821,ADANAC ST,C,,RS-1                ,HASTINGS-SUNRISE    ,59827723,,49.2776866794114,-123.046048627213
527,1235 NELSON ST,,1235,NELSON ST,B,M,RM-5B               ,WEST END            ,60611767,,49.284515019578,-123.130584359584
528,1017 KEEFER ST,BATES HOUSE       ,1017,KEEFER ST,B,M,RT-3                ,STRATHCONA          ,59421931,H,49.2793882883784,-123.081879856414
529,9 E HASTINGS ST,TEMPLETON BUILDING,9,E HASTINGS ST,B,M,HA-2                ,CENTRL BUSNES/DWNTWN,59017805,,49.2816359178611,-123.104016358465
530,544 PRIOR ST,,544,PRIOR ST,B,,RT-3                ,STRATHCONA          ,60019644,,49.2763980837067,-123.092623628134
531,2911 ONTARIO ST,,2911,ONTARIO ST,B,,RT-6                ,MOUNT PLEASANT      ,68318294,,49.2590893106349,-123.105314099499
532,46 W 11TH AV,,46,W 11TH AV,B,,RT-6                ,MOUNT PLEASANT      ,66418238,,49.260926775296,-123.106067119446
533,2036 W 13TH AV,,2036,W 13TH AV,C,,RT-8                ,KITSILANO           ,68309064,,49.2597684617558,-123.151590652326
534,3023 W 10TH AV,,3023,W 10TH AV,C,,RS-5                ,KITSILANO           ,67005873,,49.2635302191404,-123.172688749718
535,1935 W 16TH AV,,1935,W 16TH AV,B,,RT-8                ,KITSILANO           ,69009565,,49.257488735649,-123.149252705153
536,7128 ADERA ST,,7128,ADERA ST,,L,CD-1                ,KERRISDALE          ,,,49.220583,-123.142844203445
537,1050 ODLUM DRIVE,,1050,ODLUM DRIVE,B,M,RM-4                ,GRANDVIEW-WOODLAND  ,23160196,,49.2750401006834,-123.075536588083
538,135 E PENDER ST,,135,E PENDER ST,B,M,HA-1                ,CENTRL BUSNES/DWNTWN,59218657,,49.2806645416725,-123.101072213384
539,658 UNION ST,,658,UNION ST,B,M,RT-3                ,STRATHCONA          ,59819854,H,49.277224017481,-123.090310644621
540,826 W 15TH AV,,826,W 15TH AV,B,,RM-4                ,FAIRVIEW            ,68815376,,49.2575504792339,-123.122674879479
541,177 E HASTINGS ST,WASHINGTON HOTEL  ,177,E HASTINGS ST,C,M,DEOD                ,CENTRL BUSNES/DWNTWN,59018683,,49.2816562394141,-123.100497745323
542,3650 W 1ST AV,,3650,W 1ST AV,C,,RT-8                ,KITSILANO           ,63404044,,49.2710246310581,-123.18472533447
543,605 E CORDOVA ST,,605,E CORDOVA ST,B,,DEOD                ,STRATHCONA          ,58919811,,49.28237485494,-123.091056326669
544,1451 ANGUS DRIVE,REIFEL HOUSE      ,1451,ANGUS DRIVE,B,M,FSD                 ,SHAUGHNESSY         ,69813057,H,49.2553235443898,-123.137809951687
545,214 CARRALL ST,,214,CARRALL ST,C,M,HA-2                ,CENTRL BUSNES/DWNTWN,17858050,,49.2827506580941,-123.103941992172
546,630 PRIOR ST,,630,PRIOR ST,B,,RT-3                ,STRATHCONA          ,60019830,,49.276329323612,-123.090880219487
547,315 W 12TH AV,,315,W 12TH AV,B,,RT-6                ,MOUNT PLEASANT      ,67017183,,49.2606081036268,-123.111510763688
548,1154 W BROADWAY,,1154,W BROADWAY,,,C-3A                ,FAIRVIEW            ,65014606,H,49.2631688249165,-123.130706716126
549,432 RICHARDS ST,,432,RICHARDS ST,A,M,DD                  ,CENTRL BUSNES/DWNTWN,13859054,,49.2835185512441,-123.112331200896
550,1750 BEACH AV,ENGLISH BAY BATHS ,1750,BEACH AV,B,,RS-1                ,WEST END            ,61110709,,49.2862192525897,-123.143827946106
551,6275 DUNBAR ST,DOWNS RESIDENCE   ,6275,DUNBAR ST,A,,RS-5                ,DUNBAR-SOUTHLANDS   ,04083075,,49.2295146850824,-123.185898714663
552,1618 VICTORIA DRIVE,,1618,VICTORIA DRIVE,C,,RT-5                ,GRANDVIEW-WOODLAND  ,25361620,,49.2700717114455,-123.065473952898
553,532 KEEFER ST,,532,KEEFER ST,B,,RT-3                ,STRATHCONA          ,59419632,,49.2790889123933,-123.092723878434
554,351 ABBOTT ST,,351,ABBOTT ST,C,M,CD-1                ,CENTRL BUSNES/DWNTWN,59015755,H,49.2827156509953,-123.107958012096
555,1835 BAYSWATER ST,,1835,BAYSWATER ST,C,,RT-8                ,KITSILANO           ,06263657,,49.2696271292368,-123.171307590181
556,1830 E PENDER ST,,1830,E PENDER ST,C,,RM-4                ,GRANDVIEW-WOODLAND  ,59225130,,49.2799831484922,-123.067258282193
557,3148 POINT GREY ROAD,RORISON HOUSE     ,3148,POINT GREY ROAD,C,,RT-8                ,KITSILANO           ,63005326,,49.2708701082347,-123.175019982857
558,248 JACKSON AV,MCD'LD-MCRAE HOUSE,248,JACKSON AV,B,,DEOD                ,STRATHCONA          ,58919601,,49.2824149408693,-123.093107874494
559,459 E PENDER ST,,459,E PENDER ST,C,,RT-3                ,STRATHCONA          ,59219459,,49.2805261998193,-123.094101684045
560,2525 QUEBEC ST,,2525,QUEBEC ST,A,M,RM-4                ,MOUNT PLEASANT      ,65418495,,49.2623222937975,-123.103425892441
561,333 CARRALL ST,,333,CARRALL ST,,M,HA-2                ,CENTRL BUSNES/DWNTWN,17858965,,49.2819031169859,-123.104646904475
562,1037 PACIFIC ST,,1037,PACIFIC ST,B,,RM-5A               ,WEST END            ,61611947,,49.2780290777695,-123.132675351879
563,175 W CORDOVA ST,,175,W CORDOVA ST,,M,HA-2                ,CENTRL BUSNES/DWNTWN,58915707,,49.28354094451,-123.108705829136
564,1962 W 2ND AV,FAULKNER HOUSE    ,1962,W 2ND AV,C,,RM-4                ,KITSILANO           ,63609542,,49.2695722792341,-123.14936995409
565,4003 MAPLE CRESCENT,,4003,MAPLE CRESCENT,C,,RS-5                ,SHAUGHNESSY         ,09571007,,49.2507267791225,-123.15210463836
566,2774 GRANVILLE ST,,2774,GRANVILLE ST,B,,C-3A                ,FAIRVIEW            ,13066474,,49.2610480222841,-123.138236325388
567,3536 POINT GREY ROAD,,3536,POINT GREY ROAD,C,,RT-8                ,KITSILANO           ,63004154,,49.2718363902319,-123.182480167519
568,31 W PENDER ST,,31,W PENDER ST,B,,DD                  ,CENTRL BUSNES/DWNTWN,59217257,,49.2810814509183,-123.106049619997
569,1675 ANGUS DRIVE,,1675,ANGUS DRIVE,A,,FSD                 ,SHAUGHNESSY         ,69812345,,49.2547184925519,-123.142676384917
570,2870 W 47TH AV,,2870,W 47TH AV,A,,RS-5                ,KERRISDALE          ,76505884,,49.2290569792681,-123.169863122278
571,2617 PANDORA ST,,2617,PANDORA ST,C,,RS-1                ,HASTINGS-SUNRISE    ,58727421,,49.2832244353231,-123.051421714876
572,3361 W 38TH AV,,3361,W 38TH AV,C,,RS-5                ,DUNBAR-SOUTHLANDS   ,74204267,,49.2379466620021,-123.179845220254
573,2228 STEPHENS ST,,2228,STEPHENS ST,B,,RT-8                ,KITSILANO           ,07264356,,49.2661337396167,-123.166129410151
